Target,Capture_time,Time_elapsed,Discretization,Cap_per_time,Weight,ReferenceTime
svalbardnyaalesund,629,9758.8537035,20,4,2360,2024-11-24T09:00:00.0
gloria,6228,9758.8537035,20,4,2150,2024-11-24T09:00:00.0

ingdalen,239,4062.021706083,30,4,2690,2024-11-24T09:00:00.0
palgrunden,1339,4062.021706083,30,4,2210,2024-11-24T09:00:00.0
vancouver,4009,4062.021706083,30,4,2570,2024-11-24T09:00:00.0
atlantic1,1897,4062.021706083,30,4,2414,2024-11-24T09:00:00.0
moby,1391,4062.021706083,30,4,2220,2024-11-24T09:00:00.0
erie,816,4062.021706083,30,4,2190,2024-11-24T09:00:00.0
bouvet,4476,4062.021706083,30,4,2250,2024-11-24T09:00:00.0
irbe,2876,4062.021706083,30,4,2170,2024-11-24T09:00:00.0
griegclio,2463,4062.021706083,30,4,2610,2024-11-24T09:00:00.0
griegloppa,1158,4062.021706083,30,4,2490,2024-11-24T09:00:00.0
barentssea2,3982,4062.021706083,30,4,2450,2024-11-24T09:00:00.0
barentssea5,3792,4062.021706083,30,4,2435,2024-11-24T09:00:00.0
caspiansea2,5515,4062.021706083,30,4,2410,2024-11-24T09:00:00.0
trondheim,3061,4062.021706083,30,4,2720,2024-11-24T09:00:00.0
svalbardnyaalesund,1163,4062.021706083,30,4,2365,2024-11-24T09:00:00.0
vanmijenfjorden,233,4062.021706083,30,4,2350,2024-11-24T09:00:00.0
griegesperanza,1188,4062.021706083,30,4,2620,2024-11-24T09:00:00.0
northsea,3067,4062.021706083,30,4,2411,2024-11-24T09:00:00.0
barentssea3,3977,4062.021706083,30,4,2430,2024-11-24T09:00:00.0
trondheimnorth,54,4062.021706083,30,4,2709,2024-11-24T09:00:00.0
northaustralia2,1975,4062.021706083,30,4,2390,2024-11-24T09:00:00.0
peteriisland,687,4062.021706083,30,4,2260,2024-11-24T09:00:00.0
barentssea4,971,4062.021706083,30,4,2440,2024-11-24T09:00:00.0
englishatlantic,4349,4062.021706083,30,4,2432,2024-11-24T09:00:00.0
grieghammerfest,2870,4062.021706083,30,4,2480,2024-11-24T09:00:00.0
